image_id,label,split,num_annot,set_id,video_id,frame_id
set00_V001_0371,"0 0.7960022817178742 0.3738473148608057 0.03874973391045228 0.18329903734714625
0 0.821365556787244 0.3824484777074412 0.012471218808171437 0.16357416035191777
",train,2,set00,V001,371
set00_V001_0372,"0 0.8072206170616619 0.37328438763925365 0.03995600652806385 0.18571158258236942
0 0.8266766002375017 0.38187872254280925 0.003865850001859908 0.16565079063656274
",train,2,set00,V001,372
set00_V001_0373,"0 0.8184389524054497 0.37272146041770154 0.04116227914567542 0.1881241278175926
0 0.8323474320184456 0.3808956101299591 0.00356704496854654 0.16707597891968612
",train,2,set00,V001,373
set00_V001_0374,"0 0.8296572877492374 0.3721585331961495 0.04236855176328699 0.19053667305281574
0 0.8380182637993898 0.37991249771710883 0.0032682399352333747 0.16850116720280942
",train,2,set00,V001,374
set00_V001_0375,"0 0.8408756230930252 0.37159560597459745 0.043574824380898575 0.1929492182880389
0 0.8436890955803336 0.3789293853042587 0.0029694349019200317 0.16992635548593285
",train,2,set00,V001,375
set00_V001_0376,"0 0.8520939584368128 0.37103267875304535 0.04478109699851015 0.19536176352326207
0 0.8493599273612777 0.3779462728914085 0.002670629868606689 0.1713515437690562
",train,2,set00,V001,376
set00_V001_0377,"0 0.8633122937806004 0.3704697515314933 0.04598736961612172 0.19777430875848523
0 0.8550307591422217 0.37696316047855827 0.0023718248352935234 0.17277673205217953
",train,2,set00,V001,377
set00_V001_0378,"0 0.8745306291243882 0.36990682430994126 0.04719364223373329 0.2001868539937084
0 0.8607015909231657 0.37598004806570806 0.0020730198019801986 0.17420192033530288
",train,2,set00,V001,378
set00_V001_0379,"0 0.8857489644681759 0.36934389708838916 0.04839991485134487 0.20259939922893155
0 0.8674089326050997 0.37499693565285785 0.013043379858946658 0.17562710861842626
",train,2,set00,V001,379
set00_V001_0380,"0 0.8969672998119634 0.36878096986683706 0.049606187468956446 0.20501194446415472
0 0.8741162742870334 0.37401382324000765 0.02401373991591296 0.17705229690154956
",train,2,set00,V001,380
set00_V001_0381,"0 0.8808236159689674 0.37303071082715744 0.034984099972879434 0.17847748518467293
",train,1,set00,V001,381
set00_V001_0382,"0 0.8968240784917736 0.3752252374110078 0.04627518472897307 0.1879328833463422
",train,1,set00,V001,382
set00_V001_0383,"0 0.9073297063746755 0.3749388326651529 0.046576600205258424 0.19242641884860098
",train,1,set00,V001,383
set00_V001_0384,"0 0.9178353342575776 0.3746524279192979 0.046878015681543955 0.1969199543508598
",train,1,set00,V001,384
set00_V001_0385,"0 0.9283409621404797 0.374366023173443 0.04717943115782948 0.20141348985311863
",train,1,set00,V001,385
set00_V001_0386,"0 0.9388465900233816 0.3740796184275881 0.047480846634115004 0.20590702535537742
",train,1,set00,V001,386
set00_V001_0387,"0 0.9493522179062837 0.3737932136817331 0.047782262110400535 0.21040056085763623
",train,1,set00,V001,387
set00_V001_0388,"0 0.9598578457891858 0.3735068089358783 0.04808367758668606 0.21489409635989506
",train,1,set00,V001,388
set00_V001_0389,"0 0.9703634736720876 0.3732204041900234 0.04838509306297157 0.21938763186215388
",train,1,set00,V001,389
set00_V001_0390,"0 0.9722057352183561 0.37293399944416844 0.04868650853925704 0.22388116736441263
",train,1,set00,V001,390
set00_V001_0393,"0 0.6084372868622091 0.3619036285874887 0.03511416819311184 0.1565369652263629
",train,1,set00,V001,393
set00_V001_0394,"0 0.6169466790877907 0.3618799803961663 0.035451257119407255 0.15817142616987123
",train,1,set00,V001,394
set00_V001_0395,"0 0.6257199599121356 0.361878815031597 0.03579640605391852 0.15981612857362967
",train,1,set00,V001,395
set00_V001_0396,"0 0.6347571293352439 0.36190013249378067 0.03614961499664563 0.16147107243763828
",train,1,set00,V001,396
set00_V001_0397,"0 0.6440581873571154 0.3619439327827174 0.03651088394758855 0.16313625776189705
",train,1,set00,V001,397
set00_V001_0398,"0 0.6536231339777504 0.36201021589840726 0.03688021290674741 0.16481168454640602
",train,1,set00,V001,398
set00_V001_0399,"0 0.6634519691971489 0.36209898184085 0.037257601874122075 0.16649735279116512
",train,1,set00,V001,399
set00_V001_0400,"0 0.6735446930153106 0.36221023061004587 0.03764305084971259 0.16819326249617436
",train,1,set00,V001,400
set00_V001_0401,"0 0.6832256773685103 0.36190431759815156 0.03803655983351894 0.16989941366143377
",train,1,set00,V001,401
set00_V001_0402,"0 0.6933940490949831 0.361599441334579 0.03843812882554113 0.1716158062869434
",train,1,set00,V001,402
set00_V001_0403,"0 0.7539832454129121 0.36003299264016014 0.043027622312495545 0.15795891084620428
0 0.7040498081947291 0.36129560181932807 0.038847757825779185 0.17334244037270313
",train,2,set00,V001,403
set00_V001_0404,"0 0.7663596551331633 0.3597917381166379 0.04342971318503273 0.15994255915072114
0 0.7151929546677482 0.3609927990523989 0.039265446834233095 0.1750793159187131
",train,2,set00,V001,404
set00_V001_0405,"0 0.7791027927945909 0.35955048359311553 0.043831804057569916 0.16192620745523795
0 0.7268234885140405 0.36069103303379124 0.039691195850902854 0.1768264329249732
",train,2,set00,V001,405
set00_V001_0406,"0 0.7922126583971951 0.35930922906959323 0.0442338949301071 0.16390985575975478
0 0.7389414097336061 0.36039030376350534 0.04012500487578847 0.1785837913914834
",train,2,set00,V001,406
set00_V001_0407,"0 0.8056892519409756 0.3590679745460709 0.04463598580264429 0.16589350406427159
0 0.7515467183264448 0.3600906112415411 0.04056687390888994 0.18035139131824385
",train,2,set00,V001,407
set00_V001_0408,"0 0.8195325734259327 0.3588267200225486 0.04503807667518147 0.16787715236878842
0 0.7646394142925566 0.35979195546789844 0.041016802950207265 0.1821292327052544
",train,2,set00,V001,408
set00_V001_0409,"0 0.8337426228520664 0.3585854654990263 0.04544016754771865 0.16986080067330522
0 0.7782194976319416 0.35949433644257756 0.04147479199974045 0.18391731555251517
",train,2,set00,V001,409
set00_V001_0410,"0 0.8483194002193764 0.35834421097550395 0.04584225842025583 0.17184444897782206
0 0.7922869683445999 0.3591977541655783 0.041940841057489485 0.18571563986002607
",train,2,set00,V001,410
set00_V001_0411,"0 0.8632629055278628 0.35810295645198165 0.04624434929279301 0.1738280972823389
0 0.8068418264305314 0.3589022086369007 0.04241495012345437 0.18752420562778713
",train,2,set00,V001,411
set00_V001_0412,"0 0.8785731387775256 0.3578617019284593 0.04664644016533019 0.1758117455868557
0 0.8218840718897358 0.3586076998565447 0.042897119197635114 0.18934301285579838
",train,2,set00,V001,412
set00_V001_0413,"0 0.8942500999683651 0.35762044740493704 0.04704853103786737 0.1777953938913725
0 0.8374137047222135 0.3583142278245105 0.04338734828003171 0.1911720615440598
",train,2,set00,V001,413
set00_V001_0414,"0 0.9102937891003811 0.3573791928814147 0.04745062191040455 0.17977904219588933
0 0.8534307249279645 0.3580217925407979 0.043885637370644166 0.19301135169257133
",train,2,set00,V001,414
set00_V001_0415,"0 0.9267042061735733 0.35713793835789237 0.047852712782941724 0.18176269050040617
0 0.8699351325069884 0.35773039400540696 0.044391986469472476 0.19486088330133308
",train,2,set00,V001,415
set00_V001_0416,"0 0.8869269274592857 0.35744003221833764 0.044906395576516635 0.19672065637034494
",train,1,set00,V001,416
set00_V001_0417,"0 0.9044061097848562 0.3571507071795901 0.045428864691776656 0.198590670899607
",train,1,set00,V001,417
set00_V001_0418,"0 0.9223726794836997 0.3568624188891641 0.045959393815252526 0.20047092688911924
",train,1,set00,V001,418
set00_V001_0419,"0 0.9408266365558164 0.35657516734705985 0.04649798294694425 0.20236142433888163
",train,1,set00,V001,419
set00_V001_0420,"0 0.9597679810012064 0.3562889525532772 0.047044632086851834 0.20426216324889415
",train,1,set00,V001,420
set00_V001_0500,"0 0.7821520528993413 0.3849605469643125 0.04215711553016858 0.15740744018405517
",train,1,set00,V001,500
set00_V001_0501,"0 0.798317433443428 0.38359313104922566 0.042551534523640494 0.1594780402517109
",train,1,set00,V001,501
set00_V001_0502,"0 0.814630542300354 0.38177264785052206 0.042953184007820965 0.16159233961041866
",train,1,set00,V001,502
set00_V001_0503,"0 0.8310913794701197 0.3794990973682019 0.043362063982709975 0.16375033826017846
",train,1,set00,V001,503
set00_V001_0504,"0 0.8476999449527249 0.3767724796022652 0.04377817444830753 0.16595203620099028
",train,1,set00,V001,504
set00_V001_0505,"0 0.8644562387481693 0.37359279455271177 0.044201515404613645 0.16819743343285415
",train,1,set00,V001,505
set00_V001_0506,"0 0.8813602608564537 0.36996004221954165 0.0446320868516283 0.17048652995577004
",train,1,set00,V001,506
set00_V001_0507,"0 0.9000898360198525 0.37085192675113204 0.04463208685162832 0.17048652995577004
",train,1,set00,V001,507
set00_V001_0508,"0 0.9188194111832511 0.3717438112827225 0.044632086851628346 0.17048652995577002
",train,1,set00,V001,508
set00_V001_0509,"0 0.9375489863466498 0.3726356958143129 0.044632086851628366 0.17048652995577002
",train,1,set00,V001,509
set00_V001_0536,"0 0.4034301175608357 0.3962240513651761 0.06941657979667347 0.15675936262797313
",train,1,set00,V001,536
set00_V001_0537,"0 0.4151137007944115 0.39566632926178763 0.07013672846598787 0.1595325980220007
",train,1,set00,V001,537
set00_V001_0538,"0 0.42689868708687906 0.39508665877040267 0.07086245592465434 0.16238465586661496
",train,1,set00,V001,538
set00_V001_0539,"0 0.4387850764382383 0.39448503989102135 0.0715937621726729 0.16531553616181593
",train,1,set00,V001,539
set00_V001_0540,"0 0.45077286884848916 0.3938614726236436 0.07233064721004351 0.16832523890760354
",train,1,set00,V001,540
set00_V001_0541,"0 0.462862064317632 0.39321595696826955 0.0730731110367662 0.1714137641039779
",train,1,set00,V001,541
set00_V001_0542,"0 0.47505266284566644 0.39254849292489896 0.07382115365284093 0.17458111175093893
",train,1,set00,V001,542
set00_V001_0543,"0 0.4873446644325925 0.39185908049353196 0.07457477505826775 0.17782728184848665
",train,1,set00,V001,543
set00_V001_0544,"0 0.49973806907841034 0.39114771967416856 0.07533397525304662 0.18115227439662107
",train,1,set00,V001,544
set00_V001_0545,"0 0.5122328767831199 0.3904144104668088 0.07609875423717756 0.18455608939534215
",train,1,set00,V001,545
set00_V001_0546,"0 0.5248290875467213 0.3896591528714526 0.07686911201066059 0.18803872684464995
",train,1,set00,V001,546
set00_V001_0547,"0 0.5375267013692143 0.38888194688809996 0.07764504857349566 0.19160018674454443
",train,1,set00,V001,547
set00_V001_0548,"0 0.550325718250599 0.3880827925167509 0.07842656392568281 0.1952404690950256
",train,1,set00,V001,548
set00_V001_0549,"0 0.5632261381908754 0.3872616897574055 0.07921365806722203 0.19895957389609348
",train,1,set00,V001,549
set00_V001_0550,"0 0.5762279611900436 0.38641863861006354 0.0800063309981133 0.20275750114774801
",train,1,set00,V001,550
set00_V001_0551,"0 0.5893311872481035 0.3855536390747253 0.08080458271835664 0.2066342508499893
0 0.6601865073269594 0.3693540654570731 0.034043590843509275 0.15650578119113026
",train,2,set00,V001,551
set00_V001_0552,"0 0.6025358163650552 0.38466669115139057 0.08160841322795205 0.21058982300281717
0 0.6740561324762764 0.3689777305446431 0.03434840179629264 0.1584560485469181
",train,2,set00,V001,552
set00_V001_0553,"0 0.6158418485408984 0.38375779484005945 0.08241782252689954 0.21462421760623182
0 0.6880310731893188 0.36860139563221317 0.034653212749075915 0.16040631590270593
",train,2,set00,V001,553
set00_V001_0554,"0 0.6292492837756335 0.3828269501407319 0.08323281061519908 0.21873743466023315
0 0.7021113294660868 0.36822506071978317 0.03495802370185928 0.16235658325849378
",train,2,set00,V001,554
set00_V001_0555,"0 0.7047955941976709 0.36958745197247916 0.03631162683207567 0.15658350974084848
0 0.6449035443866933 0.38286321716060784 0.08365897889614232 0.21995375954965818
0 0.7162969013065803 0.36784872580735334 0.03526283465464264 0.1643068506142816
",train,3,set00,V001,555
set00_V001_0556,"0 0.7176507948408931 0.36924606182849357 0.03651999820019971 0.1584534756284148
0 0.6605578049977532 0.3828994841804837 0.08408514717708558 0.22117008443908318
0 0.7305877887107992 0.36747239089492334 0.035567645607426 0.16625711797006945
",train,3,set00,V001,556
set00_V001_0557,"0 0.7305811588828082 0.3689064724598961 0.03672836956832375 0.1603444722606574
0 0.6762120656088131 0.38293575120035966 0.08451131545802883 0.2223864093285082
0 0.7449839916787436 0.3670960559824934 0.03587245656020928 0.16820738532585727
",train,3,set00,V001,557
set00_V001_0558,"0 0.7435866863234161 0.3685686838666869 0.0369367409364478 0.16225649963757616
0 0.691866326219873 0.3829720182202356 0.08493748373897209 0.22360273421793322
0 0.7594855102104137 0.3667197210700634 0.03617726751299264 0.17015765268164512
",train,3,set00,V001,558
set00_V001_0559,"0 0.7566673771627166 0.36823269604886594 0.03714511230457184 0.1641895577591712
0 0.7075205868309329 0.3830082852401115 0.08536365201991533 0.22481905910735822
0 0.7740923443058091 0.36634338615763345 0.036482078465776 0.1721079200374329
",train,3,set00,V001,559
set00_V001_0560,"0 0.7231748474419928 0.38304455225998735 0.08578982030085858 0.22603538399678325
0 0.7888044939649299 0.36596705124520357 0.03678688941855928 0.17405818739322076
",train,2,set00,V001,560
set00_V001_0561,"0 0.7369863982814806 0.3783632954065389 0.09212528847925859 0.25018183299070196
0 0.8036219591877765 0.3655907163327736 0.03709170037134273 0.1760084547490086
",train,2,set00,V001,561
set00_V001_0562,"0 0.757947685686638 0.3763919633464181 0.0974523720181859 0.2708732854761563
0 0.8235866984604465 0.3670306064325056 0.0021624531886647704 0.16854656225729864
",train,2,set00,V001,562
set00_V001_0563,"0 0.7782329619966766 0.3747945294748877 0.10213028394647519 0.28898986989724273
0 0.8377443574180735 0.3667426284125592 0.002168135349595346 0.17003894075564063
",train,2,set00,V001,563
set00_V001_0564,"0 0.7978422272115963 0.3735709937919477 0.10615902426412638 0.3045315862539611
0 0.8519020163757003 0.36645465039261277 0.0021738175105259216 0.1715313192539826
",train,2,set00,V001,564
set00_V001_0565,"0 0.8167754813313972 0.37272135629759806 0.10953859297113955 0.3174984345463115
0 0.8660596753333274 0.36616667237266637 0.002179499671456675 0.1730236977523246
",train,2,set00,V001,565
set00_V001_0566,"0 0.8350327243560796 0.3722456169918389 0.11226899006751467 0.327890414774294
0 0.8802173342909541 0.36587869435271997 0.0021851818323872876 0.17451607625066656
",train,2,set00,V001,566
set00_V001_0567,"0 0.852613956285643 0.3721437758746702 0.11435021555325164 0.33570752693790845
0 0.8036219591877762 0.36559071633277357 0.03709170037134256 0.17600845474900859
",train,2,set00,V001,567
set00_V001_0568,"0 0.8695191771200877 0.3724158329460919 0.11578226942835075 0.34094977103715496
",train,1,set00,V001,568
set00_V001_0569,"0 0.8857483868594138 0.373061788206104 0.1165651516928117 0.3436171470720335
",train,1,set00,V001,569
set00_V001_0570,"0 0.9013015855036208 0.3740816416547065 0.11669886234663461 0.343709655042544
",train,1,set00,V001,570
set00_V001_0571,"0 0.9161787730527093 0.37547539329189944 0.11618340138981947 0.3412272949486866
",train,1,set00,V001,571
set00_V001_0572,"0 0.9303799495066793 0.3772430431176828 0.11501876882236628 0.33617006679046124
",train,1,set00,V001,572
set00_V001_0573,"0 0.9439051148655303 0.3793845911320567 0.11320496464427504 0.3285379705678679
",train,1,set00,V001,573
set00_V001_0903,"0 0.9565660260707176 0.48737057700040215 0.10669090346534493 0.4889425010052271
",train,1,set00,V001,903
set00_V001_0904,"0 0.9455976236766864 0.48728058694256793 0.11036725264662728 0.4886275358028074
",train,1,set00,V001,904
set00_V001_0905,"0 0.9356189502908308 0.4871897356109783 0.11585287012424601 0.48830955614224375
",train,1,set00,V001,905
set00_V001_0906,"0 0.925169393401167 0.4870980230056334 0.1202265308742323 0.4879885620235365
",train,1,set00,V001,906
set00_V001_0907,"0 0.9147358238450229 0.4870054491265331 0.12446197657124253 0.48766455344668536
",train,1,set00,V001,907
set00_V001_0908,"0 0.9043182416223985 0.48691201397367734 0.1285592072152765 0.4873375304116904
",train,1,set00,V001,908
set00_V001_0909,"0 0.8939166467332941 0.4868177175470663 0.1325182228063344 0.4870074929185516
",train,1,set00,V001,909
set00_V001_0910,"0 0.8835310391777093 0.48672255984669993 0.13633902334441608 0.48667444096726914
",train,1,set00,V001,910
set00_V001_0911,"0 0.8731614189556443 0.48662654087257806 0.1400216088295217 0.4863383745578427
",train,1,set00,V001,911
set00_V001_0912,"0 0.8628077860670988 0.4865296606247008 0.14356597926165113 0.48599929369027256
",train,1,set00,V001,912
set00_V001_0913,"0 0.8524701405120734 0.48643191910306827 0.1469721346408046 0.48565719836455856
",train,1,set00,V001,913
set00_V001_0914,"0 0.8421484822905676 0.48633331630768023 0.15024007496698166 0.48531208858070063
",train,1,set00,V001,914
set00_V001_0915,"0 0.8318428114025818 0.48623385223853705 0.15336980024018285 0.48496396433869915
",train,1,set00,V001,915
set00_V001_0916,"0 0.8215531278481155 0.4861335268956383 0.15636131046040777 0.4846128256385537
",train,1,set00,V001,916
set00_V001_0917,"0 0.8112794316271691 0.4860323402789843 0.15921460562765663 0.48425867248026444
",train,1,set00,V001,917
set00_V001_0918,"0 0.8010217227397423 0.4859302923885748 0.16192968574192923 0.48390150486383143
",train,1,set00,V001,918
set00_V001_0919,"0 0.7907800011858355 0.48582738322441005 0.1645065508032257 0.4835413227892546
",train,1,set00,V001,919
set00_V001_0920,"0 0.7805542669654483 0.48572361278648984 0.1669452008115461 0.48317812625653395
",train,1,set00,V001,920
set00_V001_0921,"0 0.7649231850917622 0.49326464451606866 0.15840296579325291 0.4981032421481782
",train,1,set00,V001,921
set00_V001_0922,"0 0.7502937878219265 0.4994146943462094 0.15169391026264503 0.5102451023303133
",train,1,set00,V001,922
set00_V001_0923,"0 0.7366660751559413 0.5041737622769121 0.14681803421972237 0.5196037068029394
",train,1,set00,V001,923
set00_V001_0924,"0 0.7240400470938066 0.4981040280855806 0.1437753376644851 0.5073034151208637
",train,1,set00,V001,924
set00_V001_0925,"0 0.7124157036355223 0.49300276705046014 0.14256582059693299 0.4969387778405772
",train,1,set00,V001,925
set00_V001_0926,"0 0.7017930447810886 0.4888699791715508 0.14318948301706608 0.4885097949620799
",train,1,set00,V001,926
set00_V001_0927,"0 0.7103461423909279 0.4900173799522276 0.17951952056635073 0.49068484032262955
",train,1,set00,V001,927
set00_V001_0928,"0 0.7003164103088535 0.4910719984803125 0.18131585195989422 0.492639674483745
",train,1,set00,V001,928
set00_V001_0929,"0 0.6902866782267792 0.49202517308224275 0.1831121833534377 0.4943916207925513
",train,1,set00,V001,929
set00_V001_0930,"0 0.6798886082629675 0.4928865539389594 0.1838841978287091 0.49592137888716686
",train,1,set00,V001,930
set00_V001_0931,"0 0.6694905382991556 0.49364649086952167 0.18465621230398055 0.4972482491294734
",train,1,set00,V001,931
set00_V001_0932,"0 0.6590924683353437 0.4943049838739293 0.18542822677925194 0.4983722315194707
",train,1,set00,V001,932
set00_V001_0933,"0 0.648694398371532 0.4948620329521824 0.1862002412545234 0.4992933260571591
",train,1,set00,V001,933
set00_V001_0934,"0 0.6382963284077201 0.495317638104281 0.18697225572979478 0.5000115327425384
",train,1,set00,V001,934
set00_V001_0935,"0 0.6278982584439083 0.495668556897778 0.18774427020506615 0.5005333364405026
",train,1,set00,V001,935
set00_V001_0936,"0 0.6175001884800966 0.49591835600836515 0.18851628468033763 0.5008516037996684
",train,1,set00,V001,936
set00_V001_0937,"0 0.6071021185162847 0.4960670354360425 0.189288299155609 0.5009663348200356
",train,1,set00,V001,937
set00_V001_0938,"0 0.5967040485524729 0.49601347549790026 0.19006031363088038 0.500673993162806
",train,1,set00,V001,938
set00_V001_0939,"0 0.586305978588661 0.495959915559758 0.19083232810615183 0.5003816515055765
",train,1,set00,V001,939
set00_V001_0940,"0 0.9229634912186951 0.4825454865299559 0.12065361165187516 0.4889425010052271
0 0.5759079086248492 0.49590635562161567 0.19160434258142323 0.5000893098483469
",train,2,set00,V001,940
set00_V001_0941,"0 0.9189157438517643 0.4825454865299559 0.12874910638573614 0.4889425010052271
0 0.5655098386610374 0.494942718537285 0.19237635705669467 0.49796514114193113
",train,2,set00,V001,941
set00_V001_0942,"0 0.9148679964848339 0.4825454865299559 0.1368446011195971 0.4889425010052271
0 0.5551117686972257 0.4939790814529542 0.19314837153196607 0.49584097243551545
",train,2,set00,V001,942
set00_V001_0943,"0 0.9108202491179033 0.4825454865299559 0.1449400958534582 0.4889425010052271
0 0.5447136987334139 0.49301544436862343 0.19392038600723752 0.4937168037290996
",train,2,set00,V001,943
set00_V001_0944,"0 0.9067725017509727 0.4825454865299559 0.1530355905873192 0.4889425010052271
0 0.5343156287696019 0.49205180728429276 0.1946924004825089 0.49159263502268397
",train,2,set00,V001,944
set00_V001_0945,"0 0.9027247543840421 0.4825454865299559 0.16113108532118015 0.4889425010052271
0 0.5239175588057903 0.4910881701999621 0.19546441495778036 0.4894684663162683
",train,2,set00,V001,945
set00_V001_0946,"0 0.8986770070171115 0.4825454865299559 0.16922658005504126 0.4889425010052271
0 0.9302143018697226 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.5135194888419783 0.4901245331156313 0.19623642943305175 0.48734429760985254
",train,3,set00,V001,946
set00_V001_0947,"0 0.894629259650181 0.4825454865299559 0.17732207478890222 0.4889425010052271
0 0.9302143018697226 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.5031214188781664 0.4891608960313006 0.19700844390832312 0.48522012890343674
",train,3,set00,V001,947
set00_V001_0948,"0 0.8847312128031732 0.48266611379171703 0.17433337956694148 0.4885404101326899
0 0.9226874287766975 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.49272334891435476 0.48819725894696986 0.1977804583835946 0.483095960197021
",train,3,set00,V001,948
set00_V001_0949,"0 0.8748331659561654 0.48278674105347813 0.17134468434498054 0.48813831926015266
0 0.9151681047032807 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.48232527895054295 0.48723362186263913 0.19855247285886596 0.4809717914906053
",train,3,set00,V001,949
set00_V001_0950,"0 0.8649351191091577 0.48290736831523934 0.1683559891230198 0.4877362283876155
0 0.9076563296494712 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.471927208986731 0.48626998477830835 0.19932448733413743 0.4788476227841896
",train,3,set00,V001,950
set00_V001_0951,"0 0.8550370722621499 0.4830279955770005 0.16536729390105886 0.48733413751507826
0 0.90015210361527 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.46152913902291925 0.4853063476939776 0.2000965018094088 0.4767234540777739
",train,3,set00,V001,951
set00_V001_0952,"0 0.8451390254151421 0.4831486228387617 0.16237859867909804 0.48693204664254114
0 0.8926554266006765 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.45113106905910744 0.4843427106096469 0.20086851628468017 0.4745992853713581
",train,3,set00,V001,952
set00_V001_0953,"0 0.8352409785681344 0.48326925010052285 0.1593899034571373 0.48652995577000396
0 0.8851662986056908 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.4407329990952956 0.4833790735253162 0.20164053075995164 0.4724751166649425
",train,3,set00,V001,953
set00_V001_0954,"0 0.8253429317211266 0.48338987736228395 0.15640120823517636 0.48612786489746673
0 0.877684719630313 0.4720911238439888 0.11338962605548862 0.4004825090470445
0 0.4303349291314838 0.48241543644098545 0.202412545235223 0.47035094795852667
",train,3,set00,V001,954
set00_V001_0955,"0 0.8154448848741188 0.4835105046240451 0.1534125130132156 0.4857257740249296
0 0.870210689674543 0.4720911238439888 0.1133896260554888 0.4004825090470445
0 0.9855490630486454 0.51632111982308 0.04070571053637391 0.4310414153598713
0 0.419936859167672 0.48145179935665466 0.2031845597104944 0.4682267792521109
",train,4,set00,V001,955
set00_V001_0956,"0 0.8047150711198001 0.48259809355734545 0.14876028397663274 0.4832576064954706
0 0.8627442087383808 0.4720911238439888 0.1133896260554888 0.4004825090470445
0 0.9792355494852718 0.5153323882226795 0.041987221348575514 0.42977163209473557
0 0.4095387892038602 0.4813575384947165 0.20395657418576585 0.4678452539094168
",train,4,set00,V001,956
set00_V001_0957,"0 0.7942193403942727 0.48177959506596024 0.14457622099763265 0.48097726411664077
0 0.8552852768218264 0.4720911238439888 0.1133896260554887 0.4004825090470445
0 0.9742612311963388 0.514343656622279 0.04611205326521439 0.42850184882960013
0 0.39914071924004835 0.4812632776327784 0.20472858866103724 0.46746372856672264
",train,4,set00,V001,957
set00_V001_0958,"0 0.7839576926975367 0.48105500914988975 0.14086032407621527 0.4788847468884403
0 0.84783389392488 0.4720911238439888 0.1133896260554887 0.4004825090470445
0 0.9696204081998453 0.5133549250218785 0.05106880632228777 0.4272320655644644
0 0.38874264927623653 0.48123157716588333 0.2055006031363086 0.4672073240141146
",train,4,set00,V001,958
set00_V001_0959,"0 0.773930128029592 0.48042433580913385 0.13761259321238076 0.4769800548108691
0 0.8403900600475414 0.4720911238439888 0.1133896260554888 0.4004825090470445
0 0.964794869103653 0.5123661934214779 0.05582105773551885 0.425962282299329
0 0.3783445793124247 0.4811998766989883 0.20627261761158008 0.4669509194615067
",train,4,set00,V001,959
